UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 ១០16 ?     00:00:03 /sbin/init splash
root           2       0  0 ១០16 ?     00:00:00 [kthreadd]
root           3       2  0 ១០16 ?     00:00:00 [rcu_gp]
root           4       2  0 ១០16 ?     00:00:00 [rcu_par_gp]
root           5       2  0 ១០16 ?     00:00:00 [netns]
root           7       2  0 ១០16 ?     00:00:00 [kworker/0:0H-events_highpri]
root           9       2  0 ១០16 ?     00:00:01 [kworker/0:1H-events_highpri]
root          10       2  0 ១០16 ?     00:00:00 [mm_percpu_wq]
root          11       2  0 ១០16 ?     00:00:00 [rcu_tasks_rude_]
root          12       2  0 ១០16 ?     00:00:00 [rcu_tasks_trace]
root          13       2  0 ១០16 ?     00:00:00 [ksoftirqd/0]
root          14       2  0 ១០16 ?     00:00:07 [rcu_sched]
root          15       2  0 ១០16 ?     00:00:00 [migration/0]
root          16       2  0 ១០16 ?     00:00:00 [idle_inject/0]
root          18       2  0 ១០16 ?     00:00:00 [cpuhp/0]
root          19       2  0 ១០16 ?     00:00:00 [cpuhp/1]
root          20       2  0 ១០16 ?     00:00:00 [idle_inject/1]
root          21       2  0 ១០16 ?     00:00:00 [migration/1]
root          22       2  0 ១០16 ?     00:00:00 [ksoftirqd/1]
root          24       2  0 ១០16 ?     00:00:00 [kworker/1:0H-events_highpri]
root          25       2  0 ១០16 ?     00:00:00 [kdevtmpfs]
root          26       2  0 ១០16 ?     00:00:00 [inet_frag_wq]
root          27       2  0 ១០16 ?     00:00:00 [kauditd]
root          29       2  0 ១០16 ?     00:00:00 [khungtaskd]
root          30       2  0 ១០16 ?     00:00:00 [oom_reaper]
root          31       2  0 ១០16 ?     00:00:00 [writeback]
root          32       2  0 ១០16 ?     00:00:00 [kcompactd0]
root          33       2  0 ១០16 ?     00:00:00 [ksmd]
root          34       2  0 ១០16 ?     00:00:00 [khugepaged]
root          81       2  0 ១០16 ?     00:00:00 [kintegrityd]
root          82       2  0 ១០16 ?     00:00:00 [kblockd]
root          83       2  0 ១០16 ?     00:00:00 [blkcg_punt_bio]
root          84       2  0 ១០16 ?     00:00:00 [tpm_dev_wq]
root          85       2  0 ១០16 ?     00:00:00 [ata_sff]
root          86       2  0 ១០16 ?     00:00:00 [md]
root          87       2  0 ១០16 ?     00:00:00 [edac-poller]
root          88       2  0 ១០16 ?     00:00:00 [devfreq_wq]
root          89       2  0 ១០16 ?     00:00:00 [watchdogd]
root          92       2  0 ១០16 ?     00:00:00 [kswapd0]
root          93       2  0 ១០16 ?     00:00:00 [ecryptfs-kthrea]
root          95       2  0 ១០16 ?     00:00:00 [kthrotld]
root          96       2  0 ១០16 ?     00:00:00 [irq/24-pciehp]
root          97       2  0 ១០16 ?     00:00:00 [irq/25-pciehp]
root          98       2  0 ១០16 ?     00:00:00 [irq/26-pciehp]
root          99       2  0 ១០16 ?     00:00:00 [irq/27-pciehp]
root         100       2  0 ១០16 ?     00:00:00 [irq/28-pciehp]
root         101       2  0 ១០16 ?     00:00:00 [irq/29-pciehp]
root         102       2  0 ១០16 ?     00:00:00 [irq/30-pciehp]
root         103       2  0 ១០16 ?     00:00:00 [irq/31-pciehp]
root         104       2  0 ១០16 ?     00:00:00 [irq/32-pciehp]
root         105       2  0 ១០16 ?     00:00:00 [irq/33-pciehp]
root         106       2  0 ១០16 ?     00:00:00 [irq/34-pciehp]
root         107       2  0 ១០16 ?     00:00:00 [irq/35-pciehp]
root         108       2  0 ១០16 ?     00:00:00 [irq/36-pciehp]
root         109       2  0 ១០16 ?     00:00:00 [irq/37-pciehp]
root         110       2  0 ១០16 ?     00:00:00 [irq/38-pciehp]
root         111       2  0 ១០16 ?     00:00:00 [irq/39-pciehp]
root         112       2  0 ១០16 ?     00:00:00 [irq/40-pciehp]
root         113       2  0 ១០16 ?     00:00:00 [irq/41-pciehp]
root         114       2  0 ១០16 ?     00:00:00 [irq/42-pciehp]
root         115       2  0 ១០16 ?     00:00:00 [irq/43-pciehp]
root         116       2  0 ១០16 ?     00:00:00 [irq/44-pciehp]
root         117       2  0 ១០16 ?     00:00:00 [irq/45-pciehp]
root         118       2  0 ១០16 ?     00:00:00 [irq/46-pciehp]
root         119       2  0 ១០16 ?     00:00:00 [irq/47-pciehp]
root         120       2  0 ១០16 ?     00:00:00 [irq/48-pciehp]
root         121       2  0 ១០16 ?     00:00:00 [irq/49-pciehp]
root         122       2  0 ១០16 ?     00:00:00 [irq/50-pciehp]
root         123       2  0 ១០16 ?     00:00:00 [irq/51-pciehp]
root         124       2  0 ១០16 ?     00:00:00 [irq/52-pciehp]
root         125       2  0 ១០16 ?     00:00:00 [irq/53-pciehp]
root         126       2  0 ១០16 ?     00:00:00 [irq/54-pciehp]
root         127       2  0 ១០16 ?     00:00:00 [irq/55-pciehp]
root         128       2  0 ១០16 ?     00:00:00 [acpi_thermal_pm]
root         130       2  0 ១០16 ?     00:00:00 [scsi_eh_0]
root         131       2  0 ១០16 ?     00:00:00 [scsi_tmf_0]
root         132       2  0 ១០16 ?     00:00:00 [scsi_eh_1]
